split,strategy,label_dates,ic_dates,ic_date_fraction,mean_asset_coverage,mean_ic,median_ic,std_ic,positive_ic_fraction
dev,candidate,1991,1991,1.0,1.0,0.043035325632010714,0.06666666666666667,0.44686236672869845,0.5379206428930186
dev,baseline,1991,1991,1.0,1.0,0.030462079357106975,0.049999999999999996,0.45572937925087825,0.5278754394776495
val,candidate,986,986,1.0,1.0,0.060480054090601774,0.10833333333333332,0.4854574778201747,0.550709939148073
val,baseline,986,986,1.0,1.0,0.0662609871534821,0.11666666666666665,0.4674659024399764,0.5689655172413793
