split,strategy,cost_bps,total_return,cagr,net_sharpe,annual_volatility,max_drawdown,annual_turnover,total_fees,final_equity,mean_cash_fraction
dev,candidate,10.0,0.9734783814345185,0.088873465065896,0.7067228637524228,0.13303405602485285,-0.1958559214226122,7.162536935190478,7660.819060627989,197347.83814345184,0.09977811439368324
dev,baseline,10.0,0.8050716058710561,0.07677644231859615,0.6001762822100059,0.13951309740676252,-0.20895821017963812,7.7111882270657,7927.105390347331,180507.1605871056,0.09980655170341636
dev,spy_buy_hold,10.0,1.6719598910834126,0.13099272893051328,0.9456978539453491,0.14067547903574093,-0.1784173881366935,0.1188731540027034,94.90983565612669,267195.9891083413,0.03348319134099208
dev,equal_weight_buy_hold,10.0,1.760318743249392,0.13561072801370821,0.9530438745459726,0.1444315858606656,-0.18014575019746248,0.11887315400270342,94.90983565612669,276031.8743249392,0.032631355092454385
dev,candidate,20.0,0.8637168184145243,0.0810970502211954,0.6524999514741667,0.13311954178407814,-0.19790415649727933,7.160002613097046,14836.25613292021,186371.68184145243,0.09977811439368327
dev,baseline,20.0,0.697221210811124,0.0684996848191537,0.5447669416495968,0.13954405017900426,-0.21047562084736815,7.708251396568084,15320.797118757127,169722.1210811124,0.09980655170341637
dev,spy_buy_hold,20.0,1.669426342928387,0.13085835600097795,0.9448433853575641,0.14067712486890585,-0.17841738813669328,0.11876043866554145,189.63968459926144,266942.6342928387,0.03348319134099198
dev,equal_weight_buy_hold,20.0,1.7577014133700746,0.135475806420994,0.952211726406044,0.14443320393797923,-0.1801457501974626,0.11876043866554145,189.63968459926141,275770.14133700746,0.032631355092454545
val,candidate,10.0,0.7291078501141239,0.1468709778774846,0.7663219869502668,0.2069354197626835,-0.2906505994385271,6.6678292363450185,3249.168505693936,172910.7850114124,0.07055345454018014
val,baseline,10.0,0.6707284445218684,0.13705587311416023,0.710927475585366,0.2126609339901117,-0.2906505994385271,7.458058197532431,3581.794896307513,167072.84445218684,0.07055691050005979
val,spy_buy_hold,10.0,0.8362522827149153,0.16425634002786715,0.8661037403629036,0.19853574311397354,-0.3240418144016346,0.23751021435296846,94.90983565612669,183625.22827149153,0.04250325091618568
val,equal_weight_buy_hold,10.0,0.8008529568547531,0.15859857204966898,0.8273170606685334,0.20308347281723263,-0.3272320799105711,0.23751021435296849,94.90983565612669,180085.2956854753,0.04310644349077104
val,candidate,20.0,0.6836177703011257,0.13924476851930145,0.7344812867816193,0.2067738345254867,-0.29110203345176977,6.665610320266583,6404.396000378839,168361.77703011257,0.07055345454018014
val,baseline,20.0,0.6216381760152685,0.12860147513215114,0.6760841911235339,0.21254066266133345,-0.29110203345176977,7.455258396530508,7047.573098451149,162163.81760152685,0.07055691050005979
val,spy_buy_hold,20.0,0.8345111511962202,0.163979981200425,0.8648987409745996,0.1985382586087636,-0.32404181440163426,0.2372850075422735,189.63968459926144,183451.11511962203,0.04250325091618566
val,equal_weight_buy_hold,20.0,0.7991453909210162,0.1583235562032106,0.8261398288322054,0.20308591372230878,-0.32723207991057135,0.2372850075422735,189.63968459926141,179914.53909210162,0.04310644349077122
